,citybike_index,name,review_count,rating,distance,categories_names
163,11,Riverdale Park East,16.0,4.5,918.094510049244,parks
164,11,McCleary Playground,1.0,3.0,533.8561294329761,playgrounds
165,11,Thompson Street Parkette,1.0,5.0,336.70807665958546,parks
166,11,Underpass Park,3.0,3.0,842.991887601815,skate_parks
167,11,Jimmy Simpson Recreation Centre,9.0,4.0,505.2256483643735,yoga
168,11,Degrassi Street Park,2.0,3.5,351.1000391469377,parks
169,11,Matty Eckler Playground,2.0,3.0,1092.8140315213816,parks
170,11,Beltline Trail,10.0,4.5,1051.5608355992283,parks
171,11,Gerrard - Carlaw Parkette,4.0,4.0,847.7435307094363,dog_parks
172,11,Sackville Playground,1.0,3.0,1153.4986632915673,dog_parks
173,11,Jimmie Simpson Park,5.0,3.5,588.1603706899641,parks
174,11,Wellesley Park,2.0,4.0,1244.8687781932274,playgrounds
175,11,Bruce Mackey Park,3.0,3.0,434.00610832123647,parks
176,11,John Chang Neighbourhood Park,2.0,3.5,727.0895209788847,parks
177,11,Orphan's Greenspace - Dog Park,4.0,4.5,1309.92201462273,dog_parks
178,12,St. James' Park,11.0,4.0,633.8294875897304,parks
179,12,Harbour Square Park,4.0,4.5,551.9655159710773,parks
180,12,Berczy Park,17.0,4.5,310.4131112707732,parks
181,12,Love Park,1.0,5.0,625.1412108109049,parks
182,12,Roundhouse Park,3.0,4.5,829.6224021471173,parks
183,12,Water's Edge Promenade,1.0,5.0,921.0565149088924,parks
184,12,Waterfront Toronto,7.0,3.0,526.6813250813362,landmarks
185,12,HTO Park,16.0,4.0,1275.587867148388,parks
186,12,Nathan Phillips Square,94.0,4.0,834.664589644408,landmarks
187,12,Toronto Sculpture Garden,6.0,3.5,475.5689224058697,galleries
188,12,Cloud Gardens,6.0,3.5,578.2583153038678,parks
189,12,Downtown Diversity Garden,1.0,2.0,1069.8643956039164,parks
190,12,Simcoe Park,1.0,3.0,761.9821733315952,parks
191,12,Bobbie Rosenfeld Park,1.0,3.0,895.624345378662,parks
192,12,HTO Park West,1.0,3.0,1378.6205843730456,parks
193,12,Sugar Beach,39.0,3.5,918.154424712132,beaches
194,12,Bell Trinity Square,1.0,3.0,1002.547238174761,landmarks
195,12,Moss Park,8.0,3.0,1156.4510763974497,parks
196,12,CN Tower,869.0,4.0,833.6013045281368,landmarks
197,12,Old City Hall,11.0,3.5,771.8542635731804,landmarks
198,13,Riverdale Park West,10.0,5.0,319.9499002329011,dog_parks
199,13,Corktown Common,13.0,4.0,939.5402893397498,playgrounds
200,13,Riverdale Farm,44.0,4.5,411.5740959794523,zoos
201,13,Riverdale Park East,16.0,4.5,697.2150857836433,parks
202,13,The Don River,1.0,5.0,653.1023167283734,parks
203,13,Underpass Park,3.0,3.0,929.9392172215772,skate_parks
204,13,Beltline Trail,10.0,4.5,596.3468451121911,parks
205,13,Thompson Street Parkette,1.0,5.0,827.8681339310007,parks
206,13,Wellesley Park,2.0,4.0,717.6771342903693,playgrounds
207,13,Degrassi Street Park,2.0,3.5,949.0734816983896,parks
208,13,Anniversary Park,1.0,4.0,744.6452062522679,parks
209,14,Allan Gardens,112.0,4.5,497.81007437009646,parks
210,14,St. James' Park,11.0,4.0,760.9626292447574,parks
211,14,Downtown Diversity Garden,1.0,2.0,846.76478946798,parks
212,14,Nathan Phillips Square,94.0,4.0,878.8096629445685,landmarks
213,14,Yonge-Dundas Square,70.0,3.5,455.572460912155,landmarks
214,14,Lillian McGregor Park,2.0,2.5,1210.4163410968567,parks
215,14,Bell Trinity Square,1.0,3.0,644.4098222041479,landmarks
216,14,Cloud Gardens,6.0,3.5,792.0412686096739,parks
217,14,Moss Park,8.0,3.0,525.2423512655258,parks
218,14,Parliament Square Park,1.0,3.0,1273.160316737883,parks
219,14,Toronto Sculpture Garden,6.0,3.5,834.5274045872827,galleries
220,14,Joseph Sheard Parkette,1.0,3.0,669.0571867501185,parks
221,14,Old City Hall,11.0,3.5,768.6577198138493,landmarks
222,14,Gardens of the Osgoode Hall,1.0,4.0,1116.8595451937845,parks
223,14,Alexander Street Parkette,2.0,3.0,922.7114034382914,parks
224,14,Orphan's Greenspace - Dog Park,4.0,4.5,1030.0775762328708,dog_parks
225,14,Egerton Ryerson Statue,1.0,3.0,355.39194762742625,landmarks
226,14,Urban Capers,7.0,3.5,813.3681807158268,landmarks
227,14,Toronto City Hall,28.0,3.5,862.6659657414766,landmarks
228,14,Gooderham Building,8.0,5.0,993.7221266640686,landmarks
229,15,Withrow Park,6.0,4.0,887.6769552041364,parks
230,15,Hideaway Park,2.0,4.0,646.6794337084542,dog_parks
231,15,Leslie Grove Park,4.0,3.5,1059.5647793778833,parks
232,15,Riverdale Park East,16.0,4.5,891.8039863882947,parks
233,15,The Don River,1.0,5.0,1212.020225396678,parks
234,15,Gerrard - Carlaw Parkette,4.0,4.0,174.58931172914637,dog_parks
235,15,Matty Eckler Playground,2.0,3.0,446.3264165891945,parks
236,15,McCleary Playground,1.0,3.0,816.7660460136142,playgrounds
237,15,Thompson Street Parkette,1.0,5.0,966.9195009549812,parks
238,15,Jimmy Simpson Recreation Centre,9.0,4.0,719.2354879679676,yoga
239,15,Degrassi Street Park,2.0,3.5,488.0934670061242,parks
240,15,Jimmie Simpson Park,5.0,3.5,795.0721779672625,parks
241,15,John Chang Neighbourhood Park,2.0,3.5,624.1683280827534,parks
242,15,Bruce Mackey Park,3.0,3.0,688.9303020137679,parks
243,16,Wallace Emerson Community Centre,6.0,3.0,745.0087735211964,swimmingpools
244,16,Earlscourt Park,7.0,3.5,825.2592057854262,dog_parks
245,16,Symington Avenue Playground,1.0,3.0,1186.680421402458,playgrounds
246,17,Leslie Grove Park,4.0,3.5,732.3093483884377,parks
247,17,Hideaway Park,2.0,4.0,797.1258110730233,dog_parks
248,17,McCleary Playground,1.0,3.0,479.0681009427612,playgrounds
249,17,Thompson Street Parkette,1.0,5.0,849.7590246406934,parks
250,17,Jimmy Simpson Recreation Centre,9.0,4.0,515.9414642932998,yoga
251,17,Jimmie Simpson Park,5.0,3.5,425.8061670306136,parks
252,17,Degrassi Street Park,2.0,3.5,775.2541902740476,parks
253,17,John Chang Neighbourhood Park,2.0,3.5,484.3029760487999,parks
254,17,McCleary Park,1.0,5.0,560.1433407915714,parks
255,17,Bruce Mackey Park,3.0,3.0,586.9160471066027,parks
256,18,Leslie Grove Park,4.0,3.5,632.0754081580408,parks
257,18,Greenwood Park,11.0,3.0,201.52444397781065,parks
258,18,Hideaway Park,2.0,4.0,732.5506562789055,dog_parks
259,18,Matty Eckler Playground,2.0,3.0,835.0356955741288,parks
260,18,Ashbridge Estate,1.0,5.0,588.3560157264887,parks
261,18,Jonathan Ashbridge Park,1.0,2.0,737.5650493976235,parks
262,19,Withrow Park,6.0,4.0,776.6036646162191,parks
263,19,Hideaway Park,2.0,4.0,831.9989172285328,dog_parks
264,19,Greenwood Park,11.0,3.0,874.6547375101411,parks
265,19,Matty Eckler Playground,2.0,3.0,532.3150301407564,parks
266,19,Gerrard - Carlaw Parkette,4.0,4.0,690.3191581694657,dog_parks
267,19,Felstead Park,1.0,3.0,1044.3404095813485,parks
268,19,Alexander the Great Parkette,1.0,4.0,1102.515657991754,parks
269,20,Leslie Grove Park,4.0,3.5,397.09900932907874,parks
270,20,Hideaway Park,2.0,4.0,685.5084938777751,dog_parks
271,20,McCleary Playground,1.0,3.0,855.4257415989705,playgrounds
272,20,Matty Eckler Playground,2.0,3.0,1033.9754259092686,parks
273,20,Jimmy Simpson Recreation Centre,9.0,4.0,853.5798392019033,yoga
274,20,Gerrard - Carlaw Parkette,4.0,4.0,1121.296243946622,dog_parks
275,20,Ashbridge Estate,1.0,5.0,1183.108578574479,parks
276,20,Degrassi Street Park,2.0,3.5,1050.6157734130684,parks
277,20,Jimmie Simpson Park,5.0,3.5,783.7092424046173,parks
278,20,McCleary Park,1.0,5.0,825.1846330913328,parks
279,20,John Chang Neighbourhood Park,2.0,3.5,664.7378235189926,parks
280,20,Bruce Mackey Park,3.0,3.0,922.8234404116458,parks
281,21,Don Valley Mountain Bike Trails,3.0,4.5,497.7407522340821,parks
282,21,Crothers Woods,3.0,4.0,926.6162661672372,hiking
283,21,Sports Camps Canada,2.0,1.5,485.6649520978865,tennis
284,22,Allan Gardens,112.0,4.5,614.9751790328708,parks
285,22,St. James' Park,11.0,4.0,837.7127459157847,parks
286,22,Queen's Park,32.0,4.5,1226.831743602564,parks
287,22,Downtown Diversity Garden,1.0,2.0,557.6720646664046,parks
288,22,Nathan Phillips Square,94.0,4.0,634.2212422946241,landmarks
289,22,Yonge-Dundas Square,70.0,3.5,164.910105261167,landmarks
290,22,Berczy Park,17.0,4.5,1013.4015080425088,parks
291,22,Lillian McGregor Park,2.0,2.5,1033.6205141897635,parks
292,22,Bell Trinity Square,1.0,3.0,371.75204737701046,landmarks
293,22,Cloud Gardens,6.0,3.5,649.7509259964498,parks
294,22,Joseph Sheard Parkette,1.0,3.0,477.3535892053815,parks
295,22,Toronto Sculpture Garden,6.0,3.5,850.3053221102069,galleries
296,22,Old City Hall,11.0,3.5,553.195192443379,landmarks
297,22,Moss Park,8.0,3.0,775.9798566157851,parks
298,22,Gardens of the Osgoode Hall,1.0,4.0,853.1002916392989,parks
299,22,Urban Capers,7.0,3.5,558.174985410532,landmarks
300,22,Alexander Street Parkette,2.0,3.0,781.232384083194,parks
301,22,Larry Sefton Park,2.0,3.5,488.17440196449866,parks
302,22,Egerton Ryerson Statue,1.0,3.0,131.97267338775114,landmarks
303,22,Toronto City Hall,28.0,3.5,593.5945597227641,landmarks
304,23,Allan Gardens,112.0,4.5,428.9743823954452,parks
305,23,St. James' Park,11.0,4.0,862.9356635947701,parks
306,23,Riverdale Farm,44.0,4.5,1345.2757736090075,zoos
307,23,Green Space On Church,1.0,5.0,1131.8425406698957,parks
308,23,Norman Jewison Park,2.0,3.5,1397.9581770999948,parks
309,23,Barbara Hall Park,6.0,3.5,1131.8425406698957,parks
310,23,Downtown Diversity Garden,1.0,2.0,1069.581665978737,parks
311,23,Nathan Phillips Square,94.0,4.0,1102.777212572485,landmarks
312,23,Moss Park,8.0,3.0,480.2868507429099,parks
313,23,Parliament Square Park,1.0,3.0,1216.6139192182848,parks
314,23,Yonge-Dundas Square,70.0,3.5,676.4333463145884,landmarks
315,23,Cloud Gardens,6.0,3.5,995.8642848655276,parks
316,23,Toronto Sculpture Garden,6.0,3.5,969.3846845351904,galleries
317,23,Bell Trinity Square,1.0,3.0,869.091460842145,landmarks
318,23,Joseph Sheard Parkette,1.0,3.0,796.2659935754498,parks
319,23,Sackville Playground,1.0,3.0,1057.9781209540383,dog_parks
320,23,Old City Hall,11.0,3.5,989.525750108177,landmarks
321,23,Alexander Street Parkette,2.0,3.0,998.1371999621038,parks
322,23,Orphan's Greenspace - Dog Park,4.0,4.5,903.639892302759,dog_parks
323,23,Dog Park at Allen Gardens,16.0,3.0,520.0989315227245,dog_parks
324,24,Dentonia Park,1.0,1.0,412.9583712823029,parks
325,25,Nordheimer Ravine,5.0,4.5,639.4645364288203,hiking
326,25,Hillcrest Park,2.0,3.0,451.49728291192986,tennis
327,25,Wells Hill Park,3.0,3.5,574.6269897323542,parks
328,25,Humewood Park,2.0,4.5,493.0811838973203,parks
329,25,Cedarvale Ravine,3.0,4.5,930.4131444184944,parks
330,25,Marian Engel Park,1.0,5.0,778.652769600414,parks
331,26,Oriole Park / Neshama Playground,3.0,4.5,776.6266930107647,tennis
332,26,David A Balfour Park,4.0,4.0,700.7159904032397,parks
333,27,Oriole Park / Neshama Playground,3.0,4.5,153.37677599776617,tennis
334,27,North Toronto Memorial Community Centre,4.0,2.0,1140.1960550319045,recreation
335,27,June Rowlands Park,1.0,4.0,733.7839745441586,parks
336,28,Toronto Music Garden,21.0,5.0,334.8680003245482,gardens
337,28,Little Norway park,5.0,4.0,499.4019717917303,playgrounds
338,28,Canoe Landing Park,11.0,3.5,97.8939677286256,parks
339,28,HTO Park,16.0,4.0,645.9610703933481,parks
340,28,Roundhouse Park,3.0,4.5,824.9118594921894,parks
341,28,HTO Park West,1.0,3.0,521.9304437454039,parks
342,28,Clarence Square Park,14.0,3.5,478.99447009875513,dog_parks
343,28,Bobbie Rosenfeld Park,1.0,3.0,732.9404812451961,parks
344,28,Simcoe Park,1.0,3.0,871.1615996456225,parks
345,28,Coronation Park,4.0,4.5,936.1607576870068,parks
346,28,Ireland Park,5.0,4.5,473.122662937251,landmarks
347,28,Alex Wilson Community Garden,2.0,4.0,913.1096352103016,gardens
348,28,CN Tower,869.0,4.0,777.216730101759,landmarks
349,28,Peter Street Basin Park,1.0,2.0,509.1713221096051,parks
350,28,Southern Linear Park,3.0,1.5,315.4937624951013,dog_parks
351,28,Coronation Dog Park,12.0,4.5,912.3047943726548,dog_parks
352,28,Canada's First Victoria Cross Historical Marker,1.0,4.0,535.7276058824011,landmarks
353,28,St. Andrew's Playground,7.0,3.0,743.7381197919177,playgrounds
354,28,Spadina Quay Wetland,1.0,5.0,412.4785023928282,parks
355,28,Isabella Valancy Crawford Park,1.0,3.0,699.4310728062579,parks
356,29,Yorkville Park,3.0,4.0,679.7218244778619,parks
357,29,Queen's Park,32.0,4.5,819.7477258463563,parks
358,29,Taddle Creek Park,1.0,5.0,295.51020642012264,parks
359,29,Budd Sugarman Park,1.0,3.0,1298.692169228425,parks
360,29,Gwendolyn Macewen,1.0,5.0,566.0486950441939,parks
361,29,K9 Fun zone,4.0,4.0,83769.7173734922,dog_parks
362,29,Town Hall Square,1.0,4.0,1060.677744710599,parks
363,29,48th Highlanders of Canada Regimental Memorial,1.0,5.0,547.0318846478174,landmarks
364,29,William Arthur Parks Historical Marker,1.0,3.0,474.6436143747461,landmarks
365,29,Ontario Veterans Memorial,1.0,5.0,782.3801814026568,landmarks
366,29,King Edward VII Equestrian Statue,1.0,3.0,543.2754860762407,landmarks
367,29,Front Campus,1.0,5.0,709.5097649847045,parks
368,29,Frank Stollery Parkette,1.0,3.0,1078.933039305528,parks
369,29,City Sniffers,4.0,5.0,11309.408350603297,dogwalkers
370,30,St. James' Park,11.0,4.0,869.5011785805252,parks
