,index,empty_slots,free_bikes,name,latitude,longitude,ll
476,476,18,5,Bloor St W / Riverside Dr,43.647663,-79.487583,"43.647663,-79.487583"
477,477,4,7,Sunnybrook Health Centre - S Wing,43.720998,-79.377456,"43.720998,-79.377456"
478,478,9,3,Yonge St / Woburn Ave - SMART,43.72814640000001,-79.4032194,"43.72814640000001,-79.4032194"
479,479,18,0,Simcoe St / Michael Sweet Ave,43.652327224103,-79.3882538196087,"43.652327224103,-79.3882538196087"
480,480,1,8,Queen St W / Dovercourt Rd,43.6438602,-79.4227573,"43.6438602,-79.4227573"
481,481,11,1,Yonge St / Montgomery Ave - SMART,43.7093201,-79.3996301,"43.7093201,-79.3996301"
482,482,17,10,King's Mill Park,43.64920406876699,-79.49336334201408,"43.64920406876699,-79.49336334201408"
483,483,5,29,University Ave / Richmond St W,43.6503935,-79.3860211,"43.6503935,-79.3860211"
484,484,1,15,135 Queens Wharf Rd - SMART,43.6399714,-79.39940399999999,"43.6399714,-79.39940399999999"
485,485,11,8,406 Oakwood Ave,43.68827060022711,-79.43937767081853,"43.68827060022711,-79.43937767081853"
