,citybike_index,empty_slots,free_bikes,num_parks,ave_dis_park,num_plygrd,ave_dis_plygrd,num_sr,ave_dis_sr,med_rating,med_review
115,115,1.0,2.302585092994046,4.0,608.5,0.0,,1.0986122886681098,552.5,3.75,1.8718021769015913
116,116,14.0,3.2188758248682006,3.0,665.6666666666666,0.0,,0.0,,4.0,3.2188758248682006
117,117,2.0,2.772588722239781,4.0,522.25,0.0,,0.6931471805599453,561.0,3.5,0.9162907318741551
118,118,4.0,2.3978952727983707,4.0,521.75,1.0986122886681098,927.0,0.0,,4.0,3.258096538021482
119,119,0.0,2.995732273553991,6.0,582.3333333333334,1.0986122886681098,657.0,0.6931471805599453,832.0,3.75,2.4423470353692043
120,120,12.0,2.4849066497880004,6.0,445.3333333333333,0.0,,0.6931471805599453,220.0,3.5,1.3862943611198906
121,121,0.0,2.9444389791664403,5.0,551.0,0.0,,1.0986122886681098,471.5,3.5,3.1780538303479458
122,122,7.0,2.1972245773362196,6.0,479.1666666666667,0.6931471805599453,492.0,0.0,,4.25,1.252762968495368
123,123,9.0,2.3978952727983707,6.0,410.3333333333333,0.6931471805599453,537.0,0.0,,4.0,1.6094379124341003
124,124,13.0,2.3978952727983707,5.0,361.2,0.6931471805599453,535.0,0.0,,4.25,3.871201010907891
125,125,15.0,0.0,5.0,404.6,0.6931471805599453,245.0,1.0986122886681098,555.5,4.0,2.1972245773362196
126,126,9.0,0.6931471805599453,7.0,366.2857142857143,0.0,,0.0,,4.0,1.0986122886681098
127,127,11.0,0.0,6.0,551.5,0.6931471805599453,364.0,1.0986122886681098,519.0,4.0,2.302585092994046
128,128,9.0,0.6931471805599453,5.0,370.4,0.0,,0.0,,4.0,2.833213344056216
129,129,15.0,2.1972245773362196,4.0,568.25,0.6931471805599453,840.0,0.0,,4.0,1.6094379124341003
130,130,10.0,1.791759469228055,5.0,534.8,1.791759469228055,404.6,0.6931471805599453,330.0,2.75,1.791759469228055
131,131,19.0,1.6094379124341003,7.0,591.0,0.6931471805599453,732.0,0.0,,2.5,0.6931471805599453
132,132,14.0,0.6931471805599453,4.0,673.25,0.0,,0.0,,4.25,2.970414465569701
133,133,12.0,1.791759469228055,2.0,737.0,0.6931471805599453,771.0,0.0,,3.5,1.3862943611198906
134,134,15.0,2.0794415416798357,2.0,476.0,0.0,,0.0,,3.5,1.3862943611198906
135,135,9.0,1.9459101490553132,2.0,339.0,1.9459101490553132,527.3333333333334,0.0,,4.0,1.6094379124341003
136,136,5.0,2.3978952727983707,2.0,532.0,0.0,,0.0,,4.0,3.2188758248682006
137,137,4.0,2.1972245773362196,4.0,505.0,1.3862943611198906,356.0,0.6931471805599453,582.0,4.0,1.791759469228055
138,138,10.0,1.3862943611198906,7.0,485.2857142857143,0.0,,0.6931471805599453,804.0,3.5,1.791759469228055
139,139,7.0,2.302585092994046,3.0,612.3333333333334,0.6931471805599453,537.0,0.6931471805599453,699.0,4.0,0.6931471805599453
140,140,11.0,3.1354942159291497,4.0,804.5,0.6931471805599453,407.0,0.6931471805599453,1078.0,4.25,0.9162907318741551
141,141,30.0,1.3862943611198906,4.0,337.0,1.0986122886681098,363.5,0.6931471805599453,471.0,4.0,2.302585092994046
142,142,16.0,0.6931471805599453,7.0,709.5714285714286,0.6931471805599453,597.0,1.0986122886681098,575.5,4.0,2.302585092994046
143,143,18.0,0.6931471805599453,3.0,586.6666666666666,0.6931471805599453,632.0,0.6931471805599453,355.0,4.0,1.3862943611198906
144,144,5.0,2.70805020110221,4.0,610.25,0.6931471805599453,570.0,0.6931471805599453,325.0,3.75,1.9459101490553132
145,145,2.0,2.833213344056216,1.0,925.0,1.0986122886681098,724.0,0.0,,4.5,1.9459101490553132
146,146,2.0,3.044522437723423,4.0,721.0,0.6931471805599453,379.0,0.6931471805599453,1113.0,4.0,3.295836866004329
147,147,3.0,2.1972245773362196,8.0,479.0,0.6931471805599453,836.0,0.6931471805599453,377.0,4.5,2.70805020110221
148,148,3.0,2.8903717578961645,4.0,407.25,0.6931471805599453,320.0,0.6931471805599453,835.0,3.75,2.6390573296152584
149,149,6.0,2.772588722239781,4.0,482.25,0.0,,0.6931471805599453,245.0,4.0,2.772588722239781
150,150,1.0,2.302585092994046,5.0,568.2,0.6931471805599453,305.0,0.0,,3.75,2.2512917986064953
