,fsq_id,category_name
4011,4ba15384f964a520eeac37e3,Playground
4012,5050f634e4b092c65b899303,Dog Park
4013,61c4f0b4e565fe05c7572a44,Landmarks and Outdoors
4014,4dd0868be4cd130e169a9d85,Monument
4015,63ed3f67ddccfe65fcbe65de,Hiking Trail
4016,50233d168302914e79c4aad6,Playground
4017,4bb5267c2f70c9b6dad08330,Restaurant
4018,4bb5267c2f70c9b6dad08330,Other Great Outdoors
4019,4db1acf14df03036e8d3e8da,Park
4020,4ad4c05ef964a520bdf620e3,Park
4021,4b9ea14cf964a52032f536e3,Monument
4022,4d31ecf26c7c721e40e7aa56,Dog Park
4023,4b797b48f964a520c6fb2ee3,Landmarks and Outdoors
4024,4bfc5019da7120a132df49fd,Park
4025,4bfc5019da7120a132df49fd,Sports and Recreation
4026,4c56d6c16418a593e5eb7d0e,Playground
4027,4a8b2742f964a520960b20e3,Park
4028,4a8b2742f964a520960b20e3,Grocery Store
4029,4b5ab0ebf964a520f8d028e3,Garden
4030,4d38cfaf4215f04dc179ccf8,Campground
4031,4bbd5d3b4e069c7473bf9ee3,Garden
4032,4ba79cd4f964a52060a239e3,Park
4033,4ba79cd4f964a52060a239e3,Sports and Recreation
4034,4c0c36c0a1b32d7f97439cf0,Park
4035,4d8e7fde1716a14396a634f7,Historic and Protected Site
4036,4c322bf8ed37a59394696b03,Playground
4037,4e8d05f4d5fbbbb6b2f24253,Park
4038,5749e1e2498e9eb4146cd724,Park
4039,4bcce06fcc8cd13a41c4c1cf,Landmarks and Outdoors
4040,4baa7b94f964a520fc6d3ae3,Park
4041,4bde036e6198c9b6ac9e12ff,Park
4042,4bde036e6198c9b6ac9e12ff,Sports and Recreation
4043,4c003a0f37850f4798f5973f,Other Great Outdoors
4044,4b41079ff964a520b0bf25e3,Park
4045,56cd21a8498eb21aed7c061c,Rock Climbing Spot
4046,56cd21a8498eb21aed7c061c,Gym and Studio
4047,4af5a445f964a520b4fa21e3,Playground
4048,4fdc128ce4b0599174537f7f,Landmarks and Outdoors
4049,4bb77b611261d13a8054e798,Park
4050,4bb77b611261d13a8054e798,Parking
4051,4bca0d77b6c49c74b1a08f91,Park
4052,4b082b5cf964a520550523e3,Park
4053,50a94e0be4b0bb7b5c01137b,Other Great Outdoors
4054,62da00ccae3cf0256a1b5a81,Park
4055,5848900f34935525346d7cfa,Dog Park
4056,5b73693c31fd14002c5ab73c,Monument
4057,4ad4c05ef964a520a6f620e3,Plaza
4058,4b9d206bf964a520e69136e3,Park
4059,4c8facf91664b1f79c90aa2f,Park
4060,4b797b48f964a520c6fb2ee3,Landmarks and Outdoors
4061,4fbab8dbe4b0f1ce5b6858bb,Park
4062,5224db7d498efda4cfb94816,Garden
4063,4c0121fd9a950f47fa9208c6,Garden
4064,4b953ad9f964a520969634e3,Park
4065,4b953ad9f964a520969634e3,Plaza
4066,4b953ad9f964a520969634e3,Sports and Recreation
4067,501fde9ce4b0373b1551cba7,Park
4068,4b9d206bf964a520e69136e3,Park
4069,4ad4c05ef964a520a6f620e3,Plaza
4070,4c8facf91664b1f79c90aa2f,Park
4071,4b797b48f964a520c6fb2ee3,Landmarks and Outdoors
4072,4fbab8dbe4b0f1ce5b6858bb,Park
4073,4c0121fd9a950f47fa9208c6,Garden
4074,501fde9ce4b0373b1551cba7,Park
4075,4b953ad9f964a520969634e3,Park
4076,4b953ad9f964a520969634e3,Plaza
4077,4b953ad9f964a520969634e3,Sports and Recreation
4078,4d3cc80d84d46ea8be27015d,Garden
4079,4e0bd442b61c18a1dc1eedf1,Park
4080,4b9d206bf964a520e69136e3,Park
4081,4b797b48f964a520c6fb2ee3,Landmarks and Outdoors
4082,4e0bd442b61c18a1dc1eedf1,Park
4083,501fde9ce4b0373b1551cba7,Park
4084,618dc2a99fb01b43fe12430e,Park
4085,55319f9e498e14c3cca6351b,Farm
4086,4be72278d4f7c9b679822720,Playground
4087,4c0f9a0a98102d7fec72e506,Restaurant
4088,4c0f9a0a98102d7fec72e506,Sculpture Garden
4089,4dd82f3fd22d38ef42fc04cc,Park
4090,4c7ff787d92ea09314913372,Café
4091,4c7ff787d92ea09314913372,Monument
4092,4b9bd808f964a5203a2c36e3,Park
4093,4bbe081f8a4fb7136bb83d9d,Park
4094,4e6a4abbb61cc3728d86f879,Hiking Trail
4095,4eac0f426da1cafdae96e561,Dog Park
4096,5b89cdc667e5f20039aaee50,Park
4097,4bed8bf291380f47cb10a018,Park
4098,4c9cde9c031337043c5d59d5,Hiking Trail
4099,4c4b73759e6dbe9ad895120c,Harbor or Marina
4100,4ebfc187be7b04923c69aa28,Landmarks and Outdoors
4101,575b0e2b498e745015189468,Beach
4102,4ae8613cf964a520f9ae21e3,Park
4103,4c38f570dfb0e21ec9a0afa8,Park
4104,4dd9844cae60680f153a2cb3,Park
4105,580a5b6d38fa83fae206e5d6,Dive Spot
4106,55d0c9c4498e93744ece44cb,Park
4107,55d0c9c4498e93744ece44cb,Sports and Recreation
4108,609c6df46aedaf0557ce77aa,Park
4109,5250314a498e6215f23586f3,Park
4110,4e13b6ed88777cd5da2e16b0,Beach
4111,5b89cdc667e5f20039aaee50,Park
4112,4ff78eade4b07fe9465647f3,Park
4113,4da889d043a12d0c26543d45,Playground
4114,5400ca4a498e7d09decda934,Park
4115,4e53d444a8097c30ee8419ec,Park
4116,4e53d444a8097c30ee8419ec,Sports and Recreation
4117,4c824f46dc018cfa86a0cd6c,Park
4118,4e56e0f9b993bf36edfa43de,Dog Park
4119,4ff04695e4b0262c92783dab,Beach
4120,4c8138e5dc018cfac196c36c,Park
4121,4cef1ae30acea35d06d1ecae,Landmarks and Outdoors
4122,57a78e12498e88fc66ce32b2,Park
4123,4fa9bdaae4b0284550937ec3,Park
4124,4fa9bdaae4b0284550937ec3,Sports and Recreation
4125,4ff092a0e4b07cca83dd590a,Park
4126,4c824f46dc018cfa86a0cd6c,Park
4127,4e53d444a8097c30ee8419ec,Park
4128,4e53d444a8097c30ee8419ec,Sports and Recreation
4129,4da889d043a12d0c26543d45,Playground
4130,4cef1ae30acea35d06d1ecae,Landmarks and Outdoors
4131,5400ca4a498e7d09decda934,Park
4132,4e50026718a8af30fd8d8541,Park
4133,4c8138e5dc018cfac196c36c,Park
4134,4c0719e20ed3c9282f26797d,Park
4135,57a78e12498e88fc66ce32b2,Park
4136,4dc9b590d164cd2dce185750,Park
4137,4dc9b590d164cd2dce185750,Sports and Recreation
